"ID_DISCENTE,""ANO_NASCIMENTO"",""PERIODO_INGRESSO"",""TIPO_INGRESSO"",""PERIODO_LETIVO"",""CAMPUS"",""CD_INEP"",""CURSO"",""CARGA_HORARIA_CURSO"",""TURNO"",""MODALIDADE"",""COTAS"",""ESCOLA_PUBLICA"",""BLS_ASSIST"",""DS_TP_SIT_ACAD"",""MONITOR_PROGRAD"",""SEXO"",""COR"",""NACIONALIDADE"",""CIDADE_NAT"",""UF_NAT"",""DEFIC"",""MOB_ACAD"",""TIPO_MOB_ACAD"",""IES_DEST"",""TIPO_MOB_ACAD_INTERNAC"",""PAIS_DEST"""
"175500,1991,""2008.1"",VESTIBULAR,""2020.1"",REITOR JOAQUIM AMAZONAS,13585,ENGENHARIA ELETRÃ”NICA,3660,INTEGRAL,PRESENCIAL,AC,NÃƒO INFORMADO,NÃƒO,MATRÃCULA RECUSADA,NÃƒO,M,NÃƒO DECLARADO,BRA,RECIFE,PE,NÃƒO,NÃƒO,,,,"
"177428,1990,""2008.1"",VESTIBULAR,""2020.1"",REITOR JOAQUIM AMAZONAS,13588,ENGENHARIA QUÃMICA,3885,INTEGRAL,PRESENCIAL,AC,NÃƒO INFORMADO,NÃƒO,MATRÃCULA RECUSADA,NÃƒO,F,NÃƒO DECLARADO,BRA,RECIFE,PE,NÃƒO,NÃƒO,,,,"
"184596,1978,""2008.2"",VESTIBULAR,""2020.1"",AGRESTE,101082,ADMINISTRAÃ‡ÃƒO -CAA,3000,MANHA,PRESENCIAL,AC,NÃƒO INFORMADO,NÃƒO,MATRÃCULA RECUSADA,NÃƒO,M,BRANCA,BRA,CARUARU,PE,NÃƒO,NÃƒO,,,,"
"201831,1988,""2009.1"",VESTIBULAR,""2020.1"",REITOR JOAQUIM AMAZONAS,13610,ARQUITETURA E URBANISMO,3915,INTEGRAL,PRESENCIAL,AC,NÃƒO INFORMADO,NÃƒO,MATRÃCULA RECUSADA,NÃƒO,F,NÃƒO DECLARADO,BRA,RECIFE,PE,NÃƒO,NÃƒO,,,,"
"205660,1972,""2009.2"",VESTIBULAR,""2020.1"",REITOR JOAQUIM AMAZONAS,20889,CIÃŠNCIAS BIOLÃ“GICAS - LICENCIATURA,2655,NOITE,PRESENCIAL,AC,NÃƒO INFORMADO,NÃƒO,MATRÃCULA RECUSADA,NÃƒO,M,PARDA,BRA,JABOATAO DOS GUARARAPES,PE,NÃƒO,NÃƒO,,,,"
"218217,1989,""2010.2"",VESTIBULAR,""2020.1"",REITOR JOAQUIM AMAZONAS,13600,FARMACIA,3465,INTEGRAL,PRESENCIAL,AC,NÃƒO INFORMADO,NÃƒO,MATRÃCULA RECUSADA,NÃƒO,F,PARDA,BRA,OLINDA,PE,NÃƒO,NÃƒO,,,,"
"219764,1991,""2010.2"",VESTIBULAR,""2020.1"",REITOR JOAQUIM AMAZONAS,117394,CINEMA E AUDIOVISUAL,2720,TARDE,PRESENCIAL,AC,NÃƒO INFORMADO,NÃƒO,INTEGRALIZADO,NÃƒO,M,NÃƒO DECLARADO,BRA,RECIFE,PE,NÃƒO,NÃƒO,,,,"
"222241,1988,""2010.2"",VESTIBULAR,""2020.1"",REITOR JOAQUIM AMAZONAS,23912,RÃDIO  TV E INTERNET,2865,MANHA,PRESENCIAL,AC,NÃƒO INFORMADO,SIM,MATRÃCULA RECUSADA,NÃƒO,M,PRETA,BRA,RECIFE,PE,NÃƒO,NÃƒO,,,,"
"222896,1989,""2010.1"",VESTIBULAR,""2020.1"",REITOR JOAQUIM AMAZONAS,58854,ENGENHARIA DA COMPUTAÃ‡ÃƒO,4065,INTEGRAL,PRESENCIAL,AC,NÃƒO INFORMADO,NÃƒO,MATRÃCULA RECUSADA,NÃƒO,M,NÃƒO DECLARADO,BRA,PAULISTA,PE,NÃƒO,NÃƒO,,,,"
"224934,1989,""2010.1"",VESTIBULAR,""2020.1"",REITOR JOAQUIM AMAZONAS,13575,CIÃŠNCIAS SOCIAIS - BACHARELADO,2370,TARDE,PRESENCIAL,AC,NÃƒO INFORMADO,NÃƒO,MATRÃCULA RECUSADA,NÃƒO,M,NÃƒO DECLARADO,BRA,RECIFE,PE,NÃƒO,NÃƒO,,,,"
"225921,1991,""2010.2"",FORÃ‡A DE LEI,""2020.1"",AGRESTE,101129,ENGENHARIA CIVIL - CAA,4100,INTEGRAL,PRESENCIAL,AC,NÃƒO INFORMADO,NÃƒO,INTEGRALIZADO,NÃƒO,M,BRANCA,BRA,NATAL,RN,NÃƒO,NÃƒO,,,,"
"226757,1992,""2010.2"",VESTIBULAR,""2020.1"",REITOR JOAQUIM AMAZONAS,13588,ENGENHARIA QUÃMICA,3885,INTEGRAL,PRESENCIAL,AC,NÃƒO INFORMADO,NÃƒO,INTEGRALIZADO,NÃƒO,F,NÃƒO DECLARADO,BRA,RECIFE,PE,NÃƒO,NÃƒO,,,,"
"228439,1988,""2011.1"",TRANSFERENCIA INTERNA,""2020.1"",REITOR JOAQUIM AMAZONAS,13608,PSICOLOGIA,4080,INTEGRAL,PRESENCIAL,AC,NÃƒO INFORMADO,NÃƒO,MATRÃCULA RECUSADA,NÃƒO,F,PARDA,BRA,RECIFE,PE,NÃƒO,NÃƒO,,,,"
"203195,1988,""2011.1"",TRANSFERENCIA INTERNA,""2020.1"",REITOR JOAQUIM AMAZONAS,13608,PSICOLOGIA,4080,INTEGRAL,PRESENCIAL,AC,NÃƒO INFORMADO,NÃƒO,MATRÃCULA RECUSADA,NÃƒO,F,PARDA,BRA,RECIFE,PE,NÃƒO,NÃƒO,,,,"
"231818,1994,""2011.1"",VESTIBULAR,""2020.1"",AGRESTE,118092,ENGENHARIA DE PRODUÃ‡ÃƒO - CAA,3765,INTEGRAL,PRESENCIAL,AC,NÃƒO,NÃƒO,MATRICULADO,NÃƒO,M,NÃƒO DECLARADO,BRA,LAJEDO,PE,NÃƒO,NÃƒO,,,,"
"231818,1994,""2011.1"",VESTIBULAR,""2020.2"",AGRESTE,118092,ENGENHARIA DE PRODUÃ‡ÃƒO - CAA,3765,INTEGRAL,PRESENCIAL,AC,NÃƒO,NÃƒO,MATRICULADO,NÃƒO,M,NÃƒO DECLARADO,BRA,LAJEDO,PE,NÃƒO,NÃƒO,,,,"
"231875,1993,""2011.1"",VESTIBULAR,""2020.1"",REITOR JOAQUIM AMAZONAS,21710,ENGENHARIA DE PRODUÃ‡ÃƒO,3270,INTEGRAL,PRESENCIAL,AC,NÃƒO,NÃƒO,MATRÃCULA RECUSADA,NÃƒO,M,NÃƒO DECLARADO,BRA,RECIFE,PE,NÃƒO,NÃƒO,,,,"
"232574,1990,""2011.2"",VESTIBULAR,""2020.1"",REITOR JOAQUIM AMAZONAS,117386,GESTÃƒO DA INFORMAÃ‡ÃƒO,2790,NOITE,PRESENCIAL,AC,NÃƒO,NÃƒO,MATRÃCULA RECUSADA,NÃƒO,F,BRANCA,BRA,RECIFE,PE,NÃƒO,NÃƒO,,,,"
"232601,1989,""2011.1"",VESTIBULAR,""2020.1"",VITORIA,101140,CIÃŠNCIAS BIOLÃ“GICAS - CAV,3120,NOITE,PRESENCIAL,AC,SIM,NÃƒO,MATRÃCULA RECUSADA,NÃƒO,F,PARDA,BRA,VITORIA DE SANTO ANTAO,PE,NÃƒO,NÃƒO,,,,"
"232645,1991,""2011.1"",VESTIBULAR,""2020.2"",REITOR JOAQUIM AMAZONAS,52249,GEOGRAFIA - BACHARELADO,2370,TARDE,PRESENCIAL,AC,SIM,NÃƒO,MATRICULADO,NÃƒO,M,NÃƒO DECLARADO,BRA,RECIFE,PE,NÃƒO,NÃƒO,,,,"
"232767,1991,""2011.2"",VESTIBULAR,""2020.1"",AGRESTE,101127,DESIGN - CAA,3210,NOITE,PRESENCIAL,AC,SIM,NÃƒO,MATRÃCULA RECUSADA,NÃƒO,M,PARDA,BRA,GAMELEIRA,PE,NÃƒO,NÃƒO,,,,"
"232812,1985,""2011.1"",VESTIBULAR,""2020.1"",REITOR JOAQUIM AMAZONAS,13574,CIÃŠNCIAS ECONÃ”MICAS,3000,NOITE,PRESENCIAL,AC,SIM,NÃƒO,MATRÃCULA RECUSADA,NÃƒO,M,PARDA,BRA,RECIFE,PE,NÃƒO,NÃƒO,,,,"
"232918,1991,""2011.1"",VESTIBULAR,""2020.1"",REITOR JOAQUIM AMAZONAS,13595,CIÃŠNCIA DA COMPUTAÃ‡ÃƒO - CIN,3495,INTEGRAL,PRESENCIAL,AC,NÃƒO,NÃƒO,MATRÃCULA RECUSADA,NÃƒO,M,PARDA,BRA,JABOATAO DOS GUARARAPES,PE,NÃƒO,NÃƒO,,,,"
